AccNumber,Title,ClassNo ,AuthorEditort,AuthorEditor,Discription,ISBNNumber,Keywords1,Keywords2,Publisher,YearofPublication,PlaceofPublisher ,Status
1374,ATOMIC ENERGY IN AGRICULTURE,630,"DICK, W.E.",,"vii,279p:ills.25.5cm",,AGRICULTURE,,,                        ,                               ,Available
1375,CHINESE ACUPUNTURE,610,RANASINGHE I.,,"vii,279p:ills.25.5cm",,"MEDICAL SCIENCES,MEDICINE",,,                            ,                               ,Available
1376,INTRODUCING COMPUTERS,621.381,"LAVER, F.J.M.",,"vii,279p:ills.25.5cm",,APPLIED PHYSICS,,,                            ,                               ,Available
1377,ROCKET PROPULSION ,520,"BRISCOE, M.",,63p:ills.21.5cm,, ASTRONOMY AND ALLIED SCIENCE,ROCKET,Chatto and Windus Limited,1963,London,Available
1378,METHODS IN LEGUME-RHIZOBIUM TECHNOLOGY,576,"SOMASEGARAN, P. HOBEN, H.J.",,"vii,279p:ills.25.5cm",,"TECHNIQUES,EQIUIPMENT,MATERIALS",,,                            ,                               ,Available
1379,THE GRANULITE FACIES IN SRI LANKA (CEYLON) NO. 4,C 553,"HAPUARACHCHI, D.J.A.C.",,"v,32p:ills.27.5cm",,ECONOMIC GEOLOGY,MINERALOGY; PETROGRAPHY,Geological Survey Department,1983,SriLanka,Available
1380,MINERAL RESOURCES OF SRI LANKA NO.2 ,C 553,"HERATH, J.W.",,"iv,70p:ills.25cm",,ECONOMIC GEOLOGY,GENERAL GEOGRAPHY; ECONOMIC MINERALS,Geological Survey Department,1980,SriLanka,Available
1381,GEOLOGY OF THE COUNTRY AROUND RANGALA,C 551,"COORAY, P.G.",,"xi,138p:ills.24.5cm",,"GEOLOGY, HYDROLOGY AND METEOROLOGY",,Department of Mineralogy,1961,Colombo,Available
1382,GROUND WATER IN CEYLON : MINISTRY OF INDUSTRIES AND SCIENTIFIC AFFAIRS,C 551,"BALENDRAN, V.S.",,17p.:ills:25.5cm,,"GEOLOGY, HYDROLOGY AND METEOROLOGY",GROUND WATER,Geological Survey Department,1970,Sri Lanka,Available
1383,GRAVITY MAP OF SRI LANKA 1: 100 000 (WITH MAPS),C 551,"HATHERTON, T.",,38p:ills.25cm,,"GEOLOGY, HYDROLOGY AND METEOROLOGY",,Ministry of Industries and Scientific Affairs,1975,SriLanka,Available
1384,"INDUSTRIAL CLAYS OF SRI LANKA : GEOLOGY, MINERALOGY AND APPRAISAL FOR CERAMICS AND OTHER INDUSTRIED NO.1",C 553,"HERATH, J.W.",,"xii,113p:ills.24.5cm",,ECONOMIC GEOLOGY,,Geological Survey Department,1973,SriLanka,Available
1385,GUIDLINES FOR WATERSHED MANAGEMENT - 1,631.4,,,"xiv,293p:ills:maps;30cm",92-5-100242-8, Watershed management--Congresses. ,,Food and Agriculture organization of the United Nations,1986,Rome,Available
1386,A THEORY OF MULTIPLE EXCHANGE RATES AND EXCHANGE RATE MANAGEMENT IN SRI LANKA,C 330 ,"WICKRAMASINGHE, W.",,"xv,453p:23.5cm",,ECONOMICS,STERLING LINK,Central Bank of ceylon,1985,Colombo,Available
1387,DROUGHT HAZARD AND RURAL DEVELOPMENT:A STUDY IN PERCEPTION OF AND ADJUSTMENT TO DROUGHT,C 330,"TENNAKOON, M.U.A.",,"vii,279p:ills.25.5cm",,ECONOMICS,,Central Bank of Sri Lanka,1986,SriLanka,Available
1388,A MACROECONOMETRIC MODEL FOR SRI LANKA,C 330,"KARUNASENA, A.G.",,"xiii,480p:ills.22cm",,ECONOMICS,SRI LANKAN ECONOMY,Central Bankof Sri Lanka,1988,SriLanka,Available
1389,HUMAN CAPITAL AND DISTRIBUTION OF PERSONAL INCOME:A THEORETICAL ANALYSIS AND AN EXAMINATION OF SOME ASPECTS OF INCOME DISTRIBUTION IN SRI LANKA,C 330,"GUNARATNE, L.",,192p:21.5cm,,ECONOMICS,,Central Bank of SriLanka,1988,SriLanka,Available
1390,CENTRAL BANK OF SRI LANKA:FUNCTIONS AND WORKING,C 330,,,238p:ills.21.5cm,,ECONOMICS,CURRENCY AUTHORITY; AGENCY FUNCTION,A Publication of Central Bank of SriLanka,1986,SriLanka,Available
1391,SOME EXPERIMENTS WITH A MULTISECTORAL INTERTEMPORAL OPTIMIZATION MODEL FOR SRI LANKA,C 330,"WIJESINGHA, D.S.",,"vii,279p:ills.25.5cm",,ECONOMICS,,,,                           ,Available
1392,GEOCHRONOLOGY,551.92,,,"32,29.5cm",,,,LONGMAN GROUP LIMITED,1983,YORK,Available
1393,THE ROLE OF GEOLOGY IN URBAN DEVELOPMENT,550.91732,,"WHITESIDE, P.G.D.",602p:ills:maps;26cm,,Urban geology.,,The geological society,1987,Hong Kong ,Available
1394,SOIL EROSION AND CONSERVATION,631.4,"MORGAN, R.P.C.",,"vii,279p:ills.25.5cm",,"TECHNIQUES,EQIUIPMENT,MATERIALS",,,                            ,                               ,Available
1395,ECOLOGY AND BIOGEOGRAPHY IN SRI LANKA,574.5095,,"FERNANDO, C.H.","vii,279p:ills.25.5cm",,Ecology ,Biogeography,Kluwer Academic,1984,Boston,Available
1396,PHOTOCATALYSIS AND ENVIRONMENTAL TRENDS AND APPLICATIONS,541.35,,"SCHIAVELLO, M.","vii,279p:ills.25.5cm",9027727600,photochemistry,photoelectricity; calalysis; chemical reactors; environmental chemistry,Kluwer Academic Publishers,1988,The Netherlands,Available
1397,IRON IN SOILS AND CLAY MINERALS,631.4,"TUCKI, J.W.",,"vii,279p:ills.25.5cm",,"TECHNIQUES,EQIUIPMENT,MATERIALS",,,                            ,                               ,Available
1398,PERSPECTIVES IN BIOGEOCHEMISTRY,574.5,"DEGENS  , E.T.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
1399,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. 1 - 1987,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1400,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. II,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1401,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. 1 - 1988,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1402,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. II ,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1403,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. I - 1990,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1404,EXPLANATORY NOTE ON THE FORM OF THE ESTIMATES - VOL. II - 1990,R 330,,,"vii,279p:ills.25.5cm",,ECONOMICS,,,                            ,                               ,Available
1405,GLOSSARY OF TECHNICAL TERMS - MATHEMATICS,REF 403,,,"vii,279p:ills.25.5cm",,MATHEMATICS,,EDUCATIONAL DEPARTMENT,1994,COLOMBO,Available
1406,GLOSSARY OF TECHNICAL TERMS - BOTANY,REF 403,,,"vii,279p:ills.25.5cm",,BOTANY,,,1985,COLOMBOEDUCATIONAL PUBLICATION DEPARTMENT,Available
1407,GLOSSARY OF TECHNICAL TERMS - ELECTRICAL ENGINEERING,REF 403,,,"vii,279p:ills.25.5cm",,ELECTRICAL ENGINEERING,,EDUCATIONAL PUBLICATION DEPARTMENT,1986,COLOMBO,Available
1408,GLOSSARY OF TECHNICAL TERMS - CHEMICAL ENGINEERING,REF 403 ,,,"vii,279p:ills.25.5cm",,CHEMICAL ENGINEERING,,DEPARTMENT OF OFFICIAL LANGUAGE AFFAIRS(PUBLICATION SECTION),1966,COLOMBO,Available
1409,GLOSSARY OF TECHNICAL TERMS - HISTORY AND ARCHAEOLOGY,REF 403,,,"vii,279p:ills.25.5cm",,HISTORY AND ARCHEOLOGY,,EDUCATIONAL PUBLICATION DEPARTMENT,1968,COLOMBO,Available
1410,GLOSSARY OF TECHNICAL TERMS - GEOLOGY,,,,"vii,279p:ills.25.5cm",,"GEOLOGY,HYDROLOGY,METEOROLOGY",,,                            ,                               ,Available
1411,GLOSSARY OF TECHNICAL TERMS - STATISTICS ,REF 403,,,"vii,279p:ills.25.5cm",,GENERAL STATICS,,EDUCATIONLA PUBLICATION DEPARTMENT,1984,COLOMBO,Available
1412,"GLOSSARY OF TECHNICAL TERMS - GENETICS, CYTOLOGY, EVOLUTION",REF 403,,,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,DEPARTMENT OF OFFICIAL LANGUAGE AFFAIRS(PUBLICATION SECTION),1963,COLOMBO,Available
1413,GLOSSARY OF TECHNICAL TERMS - VETERINARY ANATOMY,REF 403,,,"vii,279p:ills.25.5cm",,VETNARY ANATOMY,,DEPARTMENT OF OFFICIAL LANGUAGE DEPARTMENT(PUBLICATION SECTION),1964,COLOMBO,Available
1414,GLOSSARY OF TECHNICAL TERMS - ZOOLOGY,REF 403,,,"vii,279p:ills.25.5cm",,ZOOLOGY,,EDUCATIONAL PUBLICATION DEPARTMENT,1986,COLOMBO,Available
1415,COMPOSITE GLOSSARY OF TECHNICAL TERMS - GEOGRAPHY,REF 403,,,"vii,279p:ills.25.5cm",,,,EDUCATIONAL PUBLICATION DEPARTMENT,1988,COLOMBO,Available
1416,GLOSSARY OF TECHNICAL TERMS SINHALA IN VETENARY PHYSIOLOGY,REF 403,,,"vii,279p:ills.25.5cm",,VETNARY PHYSYOLOGY,,DEPARTMENT OF OFFICIAL LANGUAGE AFFAIRS(PUBLICATION SECTION),1965,COLOMBO,Available
1417,GLOSSARY OF TECHNICAL TERMS - AGRICULTURE,REF 403,,,"vii,279p:ills.25.5cm",,AGRICULTURE,,DEPARTMENT OF OFFICIAL AFFAIRS(PUBLICATION SECTION),1962,COLOMBO,Available
1418,LOCAL REMEDIES IN INTERNATIONAL LAW,341,"AMERASINGHE, C.F.",,"xxvi,410p:ills.23.5cm",,INTERNATIONAL LAW,LAW; HUMAN RIGHTS; LOCAL REMEDIES,GROTIUS PUBLICATIONS,1990,UK,Available
1419,IMPROVING MANAGEMENT OF SMALL-SCALE IRRIGATION SYSTEMS,631.7,"JUNGELING, I.",,"vii,279p:ills.25.5cm",,"TECHNIQUES,EQIUIPMENT,MATERIALS",,,                            ,                               ,Available
1420,DAWN OF MODERN SCIENCE,509.024,"GOLDSTEIN, T.",,"xvii,297p:ills.21cm",395489245,"Science, Renaissance.",,Houghton Mifflin Company,1988,Boston,Available
1422,SOIL-PLANT RELATIONSHIPS,581.5,"JEFREY, D.W.",,"vii,279p:ills.25.5cm",,BOTANY,,,                            ,                               ,Available
1423,HOW TO BUILD A HABITABLE PLANET,520,"BROECKER, W.S.",,291p:ills.21.5cm,,ASTRONOMY AND ALLIED SCIENCE,PLANET,Eldigio Press,1985,NewYork,Available
1424,"PHOTOELECTROCHEMISTRY,  PHOTOCATALYSIS AND PHOTOREACTORS ",541.35,"CHIAVELLO, M.",,"vii,279p:ills.25.5cm",,PHYSICAL AND  THEORITICAL CHEMISTRY,Electronic States in Ionic Solids,D. Reidel Publishing Company,1985,The Netherlands,Available
1425,HIGH-Tc SUPERCONDUCTORS,537.623,,"WEBER, H.W.","vii,279p:ills.25.5cm",306430916,ELECTRICIYT AND ELECTRONICS,<SUPERCONDUCTORS>,PLENUM PRESS,1988,NEW YORK,Available
1426,SALINATION AND IRRIGATION AGRICULTURE IN ANTIQUITY,930.1,"JACOBSEN, T.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1427,THE HISTORY OF GEOGRAPHY,913,,"DUNBAR, G.S.","vii,279p:ills.25.5cm",,WORLD HISTORY,,,                            ,                               ,Available
1428,POTERY TECHNOLOGY ,738,"RYE, O.S.",,"vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1429,DATA BANK APPLICATIONS ARCHAELOGY,930.1,,"GAINES, S.","vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1430,CROSS-CRAFT AND CROSS-CULTURAL INTERACTIONS IN CERAMICS - VOL.IV,738,,"McGOVERN, P.","vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1431,ON THE EVOLUTION OF COMPLEX SOCIETIES,301,"ANDERS, W.; WRIGHT, H.; McADAMS, R.",,129p:22.5cm,,SOCIALOGY,EVOLUTION,,1984,California,Available
1432,THE ENCYCLOPAEDIA OF FIELD AND GENERAL GEOLOGY,R 550.3,,"FINKL, C.W.","vii,279p:ills.25.5cm",,EARTH SCIENCE,,,                            ,                               ,Available
1433,SOIL BIOCHEMISTRY - VOL. 5,631.4,,"PAUL, E.A.; LADD, J.N.","vii,279p:ills.25.5cm",,"TECHNIQUES,EQIUIPMENT,MATERIALS",,,                            ,                               ,Available
1434,THE ENCYCLOPAEDIA OF STRUCTURAL GEOLOGY AND PLATE TECTRONICS,R 551.803,,"SEYFERT, C.K.","vii,279p:ills.25.5cm",,"GEOLOGY,HYDROLOGY,METEOLOGY",,,,,Available
1435,ELECTROCHEMISTRY AT SEMICONDUCTOR AND OXIDIZED METAL ELECTRODES,541,MORRISON I.R.,,"vii,279p:ills.25.5cm",,PHYSIACL AND THEORETICAL CHEMISTRY,,,                            ,                               ,Available
1436,NOVEL  SUPERCONDUCTIVITY,537.62319,,"WOLF, S.A.","vii,279p:ills.25.5cm",306426919,Superconductivity,,PLENUM PRESS,1987,NEW YORK,Available
1437,TISSUE CULTURE AS A PLANT PRODUCTION SYSTEM FOR HORTICULTURAL CROPS,581.8,"ZIMMERMAN, R.H.",,"vii,279p:ills.25.5cm",,BOTANY,,,                            ,                               ,Available
1438,Changing perspectives in the history of science: essays in honour of Joseph Needham,509,,"TEICH, M; YOUNG, R.","xxi,490p:ills.24cm",902773280,Science--History.,"Needham, Joseph, 1900; Technology--History.",D.Reidel Publishing,1973,Boston,Available
1439,FUNDAMENTALS OF PHYSICAL GEOGRAPHY,913,"BRIGG, D. SMITHSON, P.",,"vii,279p:ills.25.5cm",,ANICENT WORLD,,,                            ,                               ,Available
1440,GEOMORPHOLOGY AND RECLAMATION OF DISTURBED LANDS,551.4,"JOY, T.J. HADLEY , R.F.",,"vii,279p:ills.25.5cm",126969604, Geomorphology. ,Reclamation of land.; Nature --Effect of human beings on.,"HARCOURT BRACE JOVANOVICH,PUBLISHERS",1987,USA,Available
1441,SYSTEMS APPROACH TO HYDROLOGY,551.4,"YEVJEVICH, V.",,"vii,279p:ills;25.5cm",,"GEOLOGY,HYDROLOGY,METEOLOGY ",,Water resource publications,1971,Colorado ,Available
1442,STRATEGIES FOR RIVER BASIN MANAGEMENT: ENVIRONMENTAL INTEGRATION OF LAND AND WATER IN A RIVER BASIN,333.91,,"LUNQVIST, J; LOHM, U.  ; FALKENMARK, M.",346p:ills.24.5cm,,LAND ECONOMICS,RIVER BASIN MANEGEMENT; LAND;  WATER,D.Reidel Publishing,1985,Boston,Available
1443,THE GLORY OF INDIAN HANDICRAFTS,930.1,"CHATTOPADHYAY, K.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1444,SCIENCE AND SCIENTISTS IN INDIA(VEDIC TO MODERN),509.22,"JAIN, N.K.",,"viii,162p:ills.22cm",,,INDIA,Indian Book Gallery,1989,NewDelhi,Available
1445,TRADITIONAL ARTS AND CRAFTS OF NEPAL,930.1,"GAJUREL, C.L. VAIDYA, K.K.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1446,CULAVAMSA BEING THE MORE PART OF THE MAHAVAMSA:PART 1,C 294.3,"GEIGER, W.",,"xlii,362p:22.5cm",,RELIGIONS OF INDIC OCEAN,BUDDHISM,The ceylon Government Information,1953,Colombo,Available
1447,SCIENTISTS OF ANCIENT INDIA AND THEIR ACHIEVEMENTS,509.22,"JAGGI, O.P.",,"viii,258p:17.5cm",,Scientists--India,"Science, Ancient.",ATMA RAM and SONS,1989,NEW DELHI,Available
1448,THE ARTS AND CRAFTS OF INDIA AND CEYLON,C 930.1,"COOMARASWAMY, A.K.",,"xxi,242p:ills.19cm",,HISTORY OF THE ANTIENT WORLD,,Today and Tomorrow's Printers,1984,NewDelhi,Available
1449,THE HISTORY OF SCIENCE AND TECHNOLOGY: A NARRATIVE CHRONOLOGY - VOL. I:PREHISTORY-1990,509.19,,,423p:28.5cm,0871964759 (v. 1),Science--History.,Technology--History.,Facts On File,1988,NewYork,Available
1450,THE HISTORY OF SCIENCE AND TECHNOLOGY:A NARRATIVE CHRONOLOGY - VOL. II:1900-1970,509.19,,,889p:28.5cm,0871964767 (v. 2),Science--History.,Technology--History.,Facts On Line,1988,NewYork,Available
1451,Natural science of the ancient Hindus ,509.34 19,,"Chattopadhyaya, D","viii,279p:ills.23cm",8120803299,Matter--Philosophy.,"Science--India--History.; Science, Ancient.; Philosophy, Hindu.",Indian Council of Philosophical Research,1987,NewDelhi,Available
1452,IRRIGATION THEORY AND PRACTICE,627.52,"MICHAEL, A.M.",,"vii,279p:ills.25.5cm",706906136,Irrigation.,,Vikas,i978,New Delhi,Available
1453,TRADITIONAL ARTS AND CRAFTS OF WEST BENGAL,930.1,"GHOSE, B.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1454,THE POSITIVE SCIENCES OF THE ANCIENT HINDUS,509,"Seal, B.M.A.",,"viii,313p:ills.22.5cm",,Science,India; History,Motial Banarsidass,1985,NewDelhi,Available
1455,TOPICS IN SEMICONDUCTOR PHYSICS,537.62222,,"SRITRAKOOL, W; SA-YAKANIT, V","vii,279p:ills.25.5cm",997150670x,ELECTRONICS AND ELECTRICITY,<SEMICONDUCTORS>,WORLD SCIENTIFIC,1987,THAILAND,Available
1456,THE CITY IN EARLY HISTORICAL INDIA,930.1,"GOSH, A.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1457,INDIAN ARTIFACTS,930.1,"DUTTA, A.K.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1458,FOUNDERS OF SCIENCES IN ANCIENT INDIA - PART I,509.54,SVAMI SARASVATHI I.P.,,"iii,353p:ills.25cm",,,,Govindram Hasanand,1989,NewDelhi,Available
1459,FOUNDERS OF SCIENCE IN ANCIENT INDIA - PART II,509.54,"Sarasavati, S.S.P.",,675p:ills.25cm,,,,Govindram Hasanand,1989,NewDelhi ,Available
1460,THE ARCHAEOLOGY OF INDIA,930.1,"AGRAWAL, D.P.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1461,FOLK METAL CRAFT OF EASTERN INDIA,930.1,"MUKHERJI, K.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1462,A bibliography of the works of Ab_u'l-Raih_an al-B_ir_un_i,016.5 19,"KHAN, A.S.",,77p:24.5cm,,BIBLIOGRAPHY,Muhammad ibn Ahmad,Indian Natinal Science Academy,1982,NewDelhi,Available
1463,COINS AND CURRENCY SYSTEMS IN SOUTH INDIA,930.1,"CHATTOPADHYAY, B.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1464,CERAMIC MASTERPIECES,738,"KINGERY, W.D. VANDIVER, P.B.",,"vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1465,SAMPLING IN ARCHAEOLOGY,930.1,"MULLER, J.W.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1466,A CONCISE HISTORY OF SCIENCE IN INDIA,509.54,,"BOSE, D.B.  ; SEN, S.N.; SUBBARAYAPPA, B.V.","xvii, 689 p. illus., maps. 26 ",,Science--India--,INDIA; History.,Indian National Science Academy,1989,NewDelhi,Available
1467,ETHNOARCHAEOLOGY,930.1,,"KRAMER, C.","vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1468,HISTORY OF SCIENCE AND TECHNOLOGY IN ANCIENT INDIA:THE BEGINNING,509.54 19 ,"CHATTOPADHYAYA, D.",,"xxiii,556p:ills.22cm",,Science--India--History.,Technology--India--History,Firma KLM ,1986,NewDelhi,Available
1469,VEDIC MATHEMATICS,930.1,"WAMI, J.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1470,HISTORY OF SCIENCE AND TECHNOLOGY,509.54,"MENON, R.V.G.",,246p:21.5cm,,"HISTORICAL,GEOGRAPHIC,PERSONS TREATMENT",SCIENCE,Bhagya Book House,1984,Trivandrum,Available
1471,TECHNOLOGY IN ANCIENT INDIA,954,"JAGGI, O.P.",,"vii,279p:ills.25.5cm",,HISTORICAL AND GEOGRAPHICAL TREATMENT,INDIA,,                            ,                               ,Available
1472,NORTH WEBSTER'S AMERICAN DICTIONARY,423 R,,"NELISON, W.A.","vii,279p:ills.25.5cm",,English language--United States--Dictionaries.,Americanisms--Dictionaries.,G and C MERRIAM COMPANY,1934,NEW YORK,Available
1473,"SCIENCE IN ANCIENT INDIA:HISTORY OF SCIENCE,TECHNOLOGY AND MEDICINE IN INDIA",509.54,"JAGGI, O.P.",,"ix,178p:ills.25.5cm",,,,ATMA RAM and sons,1986,NewDelhi,Available
1474,ROCKS AND LANDFORMS ,551.4,"GERRARD, A.J.",,"xiii,319:ills;25.5cm",0-04-551112-8,Geomorphology,Weathering profiles and landform development,Unwin Hyman Publishers,1988,London ,Available
1475,"History of Science, Technology and Medicine in India Folk Medicine Vol 3",615.882,"JAGGI, O.P.",,"xiii, 221p, 26cm",,,,Atma Ram and sons,1982,New Delhi,Available
1476,INDIAN SYSTEM OF MEDICINE,572.6,"JAGGI, O.P.",,"vii,279p:ills.25.5cm",,HISTORICAL GEOGRAPHICAL TREATMENT,MEDICIEN,,                            ,                               ,Available
1477,"HISTORY OF SCIENCE ,TECHNOLOGY AND MEDICINE IN INDIA INDIAN ASTRONOMY AND MATHEMATICS-VOL.6",509.54,"JAGGI, O.P.",,"xiii,272p:ills.25.5cm",,HISTORICAL AND GEOGRAPHICAL TREATMENT,INDIA; ASTRONOMY ; MATHEMATICS,ATMA RAM,1986,NewDelhi,Available
1478,HISTORY OF SCIENCE AND TECHNOLOGY IN INDIA:SCIENCE AND TECHNOLOGY IN MEDIEVAL INDIA-VOL.7,509.54,"JAGGI, O.P.",,258p:25cm,,Science--India--History.,TECHNOLOGY,ATMA RAM and sons,1981,NewDelhi,Available
1479,MEDICINE IN MEDIEVAL INDIA,615.882,"JAGGI, O.P.",,"vii,279p:ills.25.5cm",,HISTORICAL AND GEOGRAPHICAL TREATMENT,,ATMA RAN and SONS,1981,NEW DELHI,Available
1480,SCIENCE IN MODERN INDIA : VOLUME ix : Science In Modern India,509.54,"JAGGI, O.P.",,"xiv,286p:25.5cm",,Science--India--History.,Technology--India--History.,ATMA RAM and SONS,1984,NEW DELHI,Available
1481,"TECHNOLOGY IN MODERN INDIA:HISTORY OF SCIENCE, TECHNOLOGY AND MEDICINE IN INDIA-VOL.10",509.54,"JAGGI, O.P.",,339p:ills.25cm,,,,Atma RAM and Sons,1984,NewDelhi,Available
1482,IMPACT OF SCIENCE AND TECHNOLOGY IN MODERN INDIA : HISTORY OF TECHNOLOGY AND MEDICINE IN INDIA,509.54,"JAGGI, O.P.",,"xi,202p:ills.25cm",,,,ATMA RAM,1984,NewDelhi,Available
1483,WESTERN MEDICINE IN INDIA,509.54,"JAGGI, O.P.",,"xii,331p:ills.25.5cm",,,,ATMA RAM,1979,NewDelhi,Available
1484,MEDICAL EDUCATION AND RESEARCH,509,"JAGGI, O.P.",,"vii,279p:ills.25.5cm",,HISTORICAL AND GEOGRAPICAL TREATMENT,EDUCATION,,                            ,                               ,Available
1485,WESTERN MEDICINE IN INDIA,509.54,"JAGGI, O.P.",,"xi,282p:ills.25.5cm",,Science--India--History,Technology--India--History,ATMA RAM,1979,NewDelhi,Available
1486,MENSURATION IN ANCIENT INDIA,930.1,"RINIVASAN, S.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1487,ARCHAELOGICAL GEOLOGY,930.119,"RAPP, G. GIFFOR, T.A.",,"vii,279p:ills.25.5cm",,Archaeological geology,,Yale University Press,1985,New Haven,Available
1488,ANCIENT TECHNOLOGY TO MODERN SCIENCE VOL. I,738,,"KINGERY, W.D.","vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1489,TECHNOOGY AND STYLE -VOL.II,738,,"KINGERY, W.D.","vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1490,"HIGH-TECHNOLOGY CERAMICS - PAST, PRESENT AND FUTURE - VOL.III",738,,"KINGERY, W.D.","vii,279p:ills.25.5cm",,CEREMIC ARTS,,,                            ,                               ,Available
1491,A BIBLIOGRAPHY ON SANSKRIT WORKS ON ASTRONOMY AND MATHEMATICS,930.1,"ENI, .N.",,"vii,279p:ills.25.5cm",,HISTORY OF ANCIENT WORLD,,,                            ,                               ,Available
1492,"HISTORY OF SCIENCE, TECHNOLOGY AND MEDICINE IN INDIA - YOGIC AND TANTRIC MEDICINE ",509.54,"JAGGI, O.P.",,206p:ills.25.5cm,,,,ATMA RAM ,1979,NewDelhi,Available
1493,HISTORY OF SCIENCE TECHNOLOGY AND MEDICINE IN INDIA - WESTERN MEDICINE IN INDIA : SOCIAL IMPACT,509.54,"JAGGI, O.P.",,"xii,214p:ills.25cm",,,,ATMA RAM AND SONS,1980,NewDelhi,Available
1494,PRUDENT PRACTICES FOR HANDLING HAZARDOUS CHEMICALS IN LABORATARIES,542.0289,,,"vii,279p:ills.25.5cm",309031281,"TECHNIQUES,EQIPMENT, MATERIALS","Overview and General Reommendations, 1",National Academy Press,1981,Washington,Available
1495,BASIC METHODS IN MOLECULAR BIOLOGY,574.8802,"DAVIS, L.G.",,"vii,279p:ills.25.5cm",0-444-01082-3,BIOLOGY,The basic of molecular biology; The tools of the molecular biology; Cloning vectors and bacterial ce,"Elsevier Science Publishing Co., Inc.",1986,New York,Available
1496,MOLECULAR BIOLOGY OF THE GENE - VOL. 1,574.88,"WATSON, J.D.",,"vii,279p:ills.25.5cm",,MOLECULAR BIOLOGY,,,                            ,                               ,Available
1497,MOLECULAR BIOLOGY OF THE GENE,574.88,"WATSON, J.D.",,"vii,279p:ills.25.5cm",,MOLECULAR BIOLOGY,,,                            ,                               ,Available
1498,BIOCHEMISTRY,REF  574.19,"STRYER, L.",,"vii,279p:ills.25.5cm",071671843X,BIOCHEMISTRY,,W.H.FREEMAN AND COMPANY ,1975,NEW YORK,Available
1499,DATA FOR BIOCHEMICAL RESEARCH,REF 574.192,"DAWSON, R.M.C; ELLIOT, D.C.",,"vii,279p:ills.25.5cm",198553587,BIOLOGICAL CHEMISTRY,,OXFORD UNIVERSITY PRESS,1986,USA,Available
1500,ELECTROPHOROSIS,574.19,"ANDREWS, A.T.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
1501,MICROBIOLOGICAL METHODS,576.02819,,"COLLINS, C.H.; LYNE, P.M.; Grange, J.M.","x,409p:ills.23.5cm",407008853,Microbiology--Technique.,,Butterworths,1989,London,Available
1502,CONCISE ENCYCLOPAEDIA OF BIOCHEMISTRY,REF 574.192,,"SCOTT, T. ; EAGLESON, M.","vii,279p:ills.25.5cm",3110116251,BIOCHEMISTRY DICTIONARIES,,WALTER DE GRUYTER,19886pNEW YORK,,Available
